time of sampling,date of sampling,MN's MAC Address,Temperature/C ,Moisture/''
0:03:04,6/30/2021,B8:27:EB:7E:B4:0C,30.73,336
0:05:04,6/30/2021,B8:27:EB:44:04:B1,29.27,334
0:07:05,6/30/2021,B8:27:EB:3E:4F:56,34.26,342
0:07:06,6/30/2021,B8:27:EB:36:C6:86,31.54,378
0:10:05,6/30/2021,B8:27:EB:69:74:52,31.09,368
3:01:06,6/30/2021,B8:27:EB:55:04:6A,31.16,378
3:05:05,6/30/2021,B8:27:EB:44:04:B1,29.35,339
3:07:10,6/30/2021,B8:27:EB:3E:4F:56,31.15,347
3:10:04,6/30/2021,B8:27:EB:69:74:52,31.01,374
6:01:07,6/30/2021,B8:27:EB:55:04:6A,29.79,379
6:03:03,6/30/2021,B8:27:EB:7E:B4:0C,29.91,341
6:05:06,6/30/2021,B8:27:EB:44:04:B1,29.45,340
6:07:04,6/30/2021,B8:27:EB:3E:4F:56,30.31,347
6:07:07,6/30/2021,B8:27:EB:36:C6:86,30.5,376
6:10:04,6/30/2021,B8:27:EB:69:74:52,29.72,376
9:39:59,6/30/2021,B8:27:EB:55:04:6A,29.38,379
